precinct,county,parish_name,rep_votes,dem_votes,total_votes,votes_needed,OBJECTID
5-13,22003,Allen,0,0,0,0,84
60,22005,Ascension,1,0,1,0,95
2-5B,22009,Avoyelles,0,0,0,0,194
2-5E,22009,Avoyelles,1,0,1,0,15212
6-2,22009,Avoyelles,0,0,0,0,15213
18A,22011,Beauregard,20,0,20,3,233
2-3,22013,Bienville,0,0,0,0,9127
4-8F,22015,Bossier,9,0,9,1,9765
1-3,22025,Catahoula,3,0,3,0,668
3-3,22025,Catahoula,0,0,0,0,667
3-4,22025,Catahoula,8,0,8,1,655
3052,22039,Evangeline,12,0,12,2,1051
3071,22039,Evangeline,8,0,8,1,1018
4021,22039,Evangeline,9,0,9,1,1003
18,22041,Franklin,13,0,13,2,1062
1-5,22043,Grant,0,0,0,0,10399
19C,22049,Jackson,2,0,2,0,4313
157B,22051,Jefferson,0,0,0,0,1362
212B,22051,Jefferson,0,0,0,0,1395
2-4A,22057,Lafourche,0,0,0,0,1716
8-5,22059,La Salle,36,0,36,5,1725
1-4,22061,Lincoln,0,0,0,0,12314
1-5,22061,Lincoln,0,0,0,0,12313
1-6,22061,Lincoln,0,0,0,0,11677
1-7,22061,Lincoln,0,0,0,0,15863
12-2,22061,Lincoln,0,0,0,0,1753
12-3,22061,Lincoln,0,0,0,0,12315
12-5,22061,Lincoln,0,0,0,0,12316
6-5,22061,Lincoln,0,0,0,0,15865
18A,22063,Livingston,8,0,8,1,8160
26,22065,Madison,0,0,0,0,1886
26A,22065,Madison,0,0,0,0,4322
3-9,22069,Natchitoches,43,0,43,6,1967
3-7B,22085,Sabine,12,0,12,2,12323
6-4,22085,Sabine,25,0,25,3,2641
1,22093,St. James,0,0,0,0,12643
4-1,22095,St. John the Baptist,2,0,2,0,2780
4-8,22095,St. John the Baptist,0,0,0,0,13277
106,22109,Terrebonne,0,0,0,0,13917
118,22109,Terrebonne,0,0,0,0,13923
8,22113,Vermilion,27,0,27,4,3389
12A,22113,Vermilion,0,0,0,0,14241
42A-1,22113,Vermilion,0,0,0,0,14236
44A,22113,Vermilion,3,0,3,0,14556
49B-4,22113,Vermilion,0,0,0,0,14559
5A-1,22113,Vermilion,6,0,6,1,14237
8A,22113,Vermilion,10,0,10,1,14239
1-2A,22115,Vernon,2,0,2,0,3454
1-3B,22115,Vernon,2,0,2,0,3455
1-4D,22115,Vernon,0,0,0,0,3425
1-7A,22115,Vernon,0,0,0,0,3458
1-7B,22115,Vernon,0,0,0,0,3485
1-8E,22115,Vernon,1,0,1,0,3451
1-8F,22115,Vernon,0,0,0,0,3477
1-9,22115,Vernon,47,0,47,6,3439
4-3E,22115,Vernon,0,0,0,0,3491
4-3F,22115,Vernon,4,0,4,1,3475
4-3M,22115,Vernon,2,0,2,0,3432
4-3N,22115,Vernon,0,0,0,0,3430
5-1A,22115,Vernon,31,0,31,4,3440
5-2A,22115,Vernon,0,0,0,0,3449
2B,22119,Webster,5,0,5,1,7514
3-2A,22127,Winn,6,0,6,1,3637
6-5,22127,Winn,28,0,28,4,3641
5-5,22007,Assumption,5,1,6,1,9118
6-2,22013,Bienville,103,1,104,14,279
4A,22035,East Carroll,6,1,7,1,976
2010A,22039,Evangeline,33,1,34,5,8793
2-4,22043,Grant,4,1,5,1,15227
7-7,22043,Grant,14,1,15,2,10401
19BI,22049,Jackson,0,1,1,0,4316
9-4,22059,La Salle,12,1,13,2,1721
9-5,22059,La Salle,38,1,39,5,1734
11-4,22061,Lincoln,12,1,13,2,11044
12-4,22061,Lincoln,0,1,1,0,12318
8-5,22061,Lincoln,6,1,7,1,15860
3-6,22095,St. John the Baptist,7,1,8,1,13272
109,22109,Terrebonne,8,1,9,1,13920
27A-2,22113,Vermilion,18,1,19,3,3385
7A,22113,Vermilion,52,1,53,7,3403
1-3C,22115,Vernon,11,1,12,2,3441
1-4C,22115,Vernon,2,1,3,0,3462
4-3L,22115,Vernon,10,1,11,2,3482
16C,22011,Beauregard,53,2,55,8,257
17A,22011,Beauregard,37,2,39,5,240
1-4,22025,Catahoula,47,2,49,7,665
91,22027,Claiborne,29,2,31,4,695
1-4,22043,Grant,11,2,13,2,10398
1-6,22043,Grant,9,2,11,2,10403
3-4,22043,Grant,8,2,10,1,10407
28,22047,Iberville,28,2,30,4,1197
1,22049,Jackson,42,2,44,6,1230
22A,22049,Jackson,4,2,6,1,4319
1-2,22059,La Salle,52,2,54,7,1735
3-6,22061,Lincoln,33,2,35,5,11042
29,22065,Madison,25,2,27,4,1876
43,22067,Morehouse,16,2,18,2,1920
2-3,22085,Sabine,32,2,34,5,2637
5-2,22091,St. Helena,19,2,21,3,2754
7-2B,22099,St. Martin,19,2,21,3,13596
24,22101,St. Mary,21,2,23,3,2970
609,22103,St. Tammany,15,2,17,2,16507
106B,22105,Tangipahoa,13,2,15,2,3242
81,22109,Terrebonne,6,2,8,1,3300
105,22109,Terrebonne,0,2,2,0,13916
107,22109,Terrebonne,0,2,2,0,13918
19A-1,22113,Vermilion,13,2,15,2,14242
7A-1,22113,Vermilion,40,2,42,6,14238
1-4A,22115,Vernon,13,2,15,2,3473
1-8C,22115,Vernon,3,2,5,1,3489
7-5C,22115,Vernon,52,2,54,7,3428
10,22119,Webster,37,2,39,5,3549
4-2A,22127,Winn,10,2,12,2,3654
4-1A,22021,Caldwell,20,3,23,3,3994
5-7,22029,Concordia,11,3,14,2,15540
4,22035,East Carroll,15,3,18,2,965
12B,22037,East Feliciana,5,3,8,1,14588
4040,22039,Evangeline,45,3,48,7,1057
13A,22041,Franklin,29,3,32,4,3996
4A,22041,Franklin,13,3,16,2,1073
7-4,22043,Grant,59,3,62,9,10722
15A,22047,Iberville,16,3,19,3,1191
24,22049,Jackson,39,3,42,6,1228
13A,22049,Jackson,56,3,59,8,4007
19A,22049,Jackson,0,3,3,0,1238
24,22067,Morehouse,8,3,11,2,1922
28,22083,Richland,21,3,24,3,2601
15,22087,St. Bernard,12,3,15,2,2696
2-5,22095,St. John the Baptist,7,3,10,1,12966
78,22109,Terrebonne,1,3,4,1,3327
95,22109,Terrebonne,13,3,16,2,13602
41,22113,Vermilion,40,3,43,6,3398
20B-2,22113,Vermilion,35,3,38,5,14246
42B,22113,Vermilion,21,3,24,3,3367
1-3D,22115,Vernon,6,3,9,1,3453
3-3,22115,Vernon,47,3,50,7,3470
4-3C,22115,Vernon,6,3,9,1,3459
3-1,22127,Winn,20,3,23,3,3658
3-1C,22127,Winn,4,3,7,1,3663
5-1,22127,Winn,46,3,49,7,3647
7-2A,22127,Winn,42,3,45,6,3640
2-2,22009,Avoyelles,1,4,5,1,14882
6-3,22025,Catahoula,25,4,29,4,654
9-1,22025,Catahoula,35,4,39,5,656
5A,22035,East Carroll,11,4,15,2,962
1161,22039,Evangeline,33,4,37,5,1021
4012,22039,Evangeline,10,4,14,2,1044
5050,22039,Evangeline,39,4,43,6,1011
8-1,22043,Grant,12,4,16,2,10402
13A,22047,Iberville,18,4,22,3,1212
7,22049,Jackson,27,4,31,4,1225
10A,22049,Jackson,62,4,66,9,4005
1-1,22059,La Salle,119,4,123,17,1741
8-7,22059,La Salle,135,4,139,19,1728
9-3,22059,La Salle,49,4,53,7,1743
10-2,22061,Lincoln,27,4,31,4,1767
5,22065,Madison,49,4,53,7,1871
19B,22077,Pointe Coupee,16,4,20,3,7847
6-4B,22085,Sabine,17,4,21,3,2639
8-1A,22085,Sabine,1,4,5,1,12324
7-1A,22099,St. Martin,12,4,16,2,2946
7-4A,22099,St. Martin,6,4,10,1,2902
45A-1,22113,Vermilion,11,4,15,2,14557
1-5A,22115,Vernon,38,4,42,6,3433
2-3A,22115,Vernon,80,4,84,12,3493
7-3,22115,Vernon,68,4,72,10,3436
7-4,22115,Vernon,20,4,24,3,3480
7,22123,West Carroll,60,4,64,9,3604
1-4,22127,Winn,27,4,31,4,3657
7-2,22127,Winn,104,4,108,15,3636
5-8A,22003,Allen,15,5,20,3,79
7-3B,22009,Avoyelles,6,5,11,2,14894
2-6,22013,Bienville,5,5,10,1,9433
4-2,22013,Bienville,40,5,45,6,282
5-3,22013,Bienville,92,5,97,13,266
3-1,22021,Caldwell,40,5,45,6,618
8,22023,Cameron,23,5,28,4,638
9,22023,Cameron,39,5,44,6,636
3-1,22025,Catahoula,97,5,102,14,649
5-2,22025,Catahoula,36,5,41,6,657
6-2,22025,Catahoula,32,5,37,5,652
21,22027,Claiborne,25,5,30,4,673
5-2B,22029,Concordia,16,5,21,3,15535
15,22035,East Carroll,14,5,19,3,964
5B,22035,East Carroll,3,5,8,1,960
8-3,22043,Grant,78,5,83,11,1105
6-3,22061,Lincoln,65,5,70,10,1751
9-5,22061,Lincoln,7,5,12,2,15867
9-6,22061,Lincoln,5,5,10,1,15868
6,22065,Madison,10,5,15,2,1862
16,22065,Madison,0,5,5,1,1861
27,22065,Madison,6,5,11,2,1883
27-2,22067,Morehouse,117,5,122,17,3686
4-7,22069,Natchitoches,33,5,38,5,1951
2-2,22085,Sabine,48,5,53,7,2668
1,22101,St. Mary,38,5,43,6,2962
2B,22107,Tensas,13,5,18,2,4642
4A,22111,Union,2,5,7,1,7837
21,22113,Vermilion,34,5,39,5,3411
5A,22113,Vermilion,40,5,45,6,3387
4-3,22115,Vernon,34,5,39,5,3457
4-3J,22115,Vernon,36,5,41,6,3471
2-2,22127,Winn,13,5,18,2,3653
18,22011,Beauregard,60,6,66,9,227
27D,22011,Beauregard,60,6,66,9,238
3-7,22013,Bienville,0,6,6,1,9124
2,22023,Cameron,7,6,13,2,637
37,22027,Claiborne,2,6,8,1,687
3051,22039,Evangeline,30,6,36,5,1017
4010,22039,Evangeline,94,6,100,14,1004
2-1,22043,Grant,49,6,55,8,1094
20B,22049,Jackson,0,6,6,1,4318
8-3,22059,La Salle,74,6,80,11,1739
10-3,22061,Lincoln,5,6,11,2,11672
8-4,22061,Lincoln,12,6,18,2,15862
9-2,22061,Lincoln,6,6,12,2,1759
9-3,22061,Lincoln,9,6,15,2,12317
3-2,22067,Morehouse,4,6,10,1,3684
23,22083,Richland,61,6,67,9,2597
2-4A,22085,Sabine,43,6,49,7,2657
3-6A,22085,Sabine,16,6,22,3,2632
9A,22093,St. James,80,6,86,12,12957
121B,22105,Tangipahoa,26,6,32,4,3177
7,22107,Tensas,40,6,46,6,3253
116,22109,Terrebonne,23,6,29,4,14233
17A,22111,Union,58,6,64,9,7842
57B,22113,Vermilion,58,6,64,9,3399
4-2,22115,Vernon,71,6,77,11,3448
4-3K,22115,Vernon,38,6,44,6,3472
6-1,22115,Vernon,46,6,52,7,3450
5-5,22127,Winn,72,6,78,11,3655
4-2,22003,Allen,188,7,195,27,60
19A,22011,Beauregard,80,7,87,12,256
3-6,22013,Bienville,9,7,16,2,9126
5-2,22021,Caldwell,32,7,39,5,613
6-5,22025,Catahoula,29,7,36,5,644
4-3,22059,La Salle,52,7,59,8,1724
8-6,22059,La Salle,37,7,44,6,1744
9-1,22059,La Salle,190,7,197,27,1730
4-6,22061,Lincoln,73,7,80,11,11992
43,22063,Livingston,56,7,63,9,1789
3,22065,Madison,127,7,134,18,1873
8A,22065,Madison,15,7,22,3,4326
17,22067,Morehouse,0,7,7,1,1933
10,22083,Richland,39,7,46,6,2621
12A,22083,Richland,10,7,17,2,4634
34B,22083,Richland,4,7,11,2,4640
3-4,22085,Sabine,56,7,63,9,2656
7-3,22085,Sabine,105,7,112,15,2647
1-7,22095,St. John the Baptist,7,7,14,2,13274
4-2,22095,St. John the Baptist,0,7,7,1,2779
3-1B,22099,St. Martin,7,7,14,2,2935
74,22109,Terrebonne,36,7,43,6,3286
112,22109,Terrebonne,9,7,16,2,13924
19B,22113,Vermilion,8,7,15,2,3374
5B,22113,Vermilion,56,7,63,9,3415
15,22123,West Carroll,26,7,33,5,3606
4-1,22127,Winn,49,7,56,8,3643
4-2,22127,Winn,40,7,47,6,3668
6-6,22127,Winn,31,7,38,5,3659
2-4,22001,Acadia,222,8,230,32,34
5-5,22003,Allen,101,8,109,15,67
2-2D,22009,Avoyelles,3,8,11,2,14883
562,22019,Calcasieu,75,8,83,11,518
16C,22023,Cameron,44,8,52,7,6875
35,22027,Claiborne,11,8,19,3,675
4011,22039,Evangeline,35,8,43,6,1045
5030,22039,Evangeline,98,8,106,15,1042
7-5,22045,Iberia,110,8,118,16,1169
26A,22049,Jackson,15,8,23,3,1240
4-2,22059,La Salle,139,8,147,20,1732
8-2,22059,La Salle,52,8,60,8,1740
9-2,22059,La Salle,96,8,104,14,1731
11-2,22061,Lincoln,55,8,63,9,1764
7,22065,Madison,102,8,110,15,1885
25,22065,Madison,30,8,38,5,1864
54,22067,Morehouse,46,8,54,7,1928
1-4A,22069,Natchitoches,2,8,10,1,1968
3-3,22071,Orleans,2,8,10,1,2155
9-45A,22071,Orleans,29,8,37,5,2246
3-7,22085,Sabine,58,8,66,9,2646
8B,22113,Vermilion,114,8,122,17,14240
1-6B,22115,Vernon,8,8,16,2,3434
2-1A,22115,Vernon,66,8,74,10,3494
6-3,22115,Vernon,60,8,68,9,3431
6-4,22115,Vernon,179,8,187,26,3481
3-3A,22117,Washington,20,8,28,4,3497
18,22123,West Carroll,88,8,96,13,3611
5-4,22127,Winn,129,8,137,19,3652
22A,22011,Beauregard,84,9,93,13,220
1-4,22013,Bienville,29,9,38,5,9432
2-4,22013,Bienville,4,9,13,2,9125
7-2,22021,Caldwell,94,9,103,14,617
5-5,22029,Concordia,183,9,192,26,716
29,22031,De Soto,13,9,22,3,744
18,22037,East Feliciana,63,9,72,10,14571
4001,22039,Evangeline,138,9,147,20,1030
25B,22049,Jackson,14,9,23,3,4320
28B,22063,Livingston,85,9,94,13,1787
5A,22063,Livingston,147,9,156,22,1820
1-1,22085,Sabine,177,9,186,26,2655
5-8A,22085,Sabine,120,9,129,18,2640
7-1,22085,Sabine,66,9,75,10,2651
4-14,22095,St. John the Baptist,0,9,9,1,13284
4-3,22095,St. John the Baptist,0,9,9,1,2788
3-1C,22099,St. Martin,10,9,19,3,13593
2C,22107,Tensas,6,9,15,2,4641
99,22109,Terrebonne,21,9,30,4,13606
8,22111,Union,46,9,55,8,3344
16,22113,Vermilion,71,9,80,11,3371
20A-4,22113,Vermilion,4,9,13,2,14245
57B-1,22113,Vermilion,46,9,55,8,14560
1-6A,22115,Vernon,5,9,14,2,3484
2-2,22115,Vernon,30,9,39,5,3486
3-2,22115,Vernon,67,9,76,10,3466
3-5,22115,Vernon,174,9,183,25,3483
3A,22123,West Carroll,47,9,56,8,7512
6-1,22125,West Feliciana,22,9,31,4,3621
70,22005,Ascension,34,10,44,6,6883
8-3,22009,Avoyelles,104,10,114,16,14893
13A,22011,Beauregard,71,10,81,11,243
5-4,22013,Bienville,61,10,71,10,270
2-16A,22015,Bossier,4,10,14,2,315
164,22017,Caddo,57,10,67,9,9756
6-2,22021,Caldwell,143,10,153,21,616
1,22023,Cameron,55,10,65,9,629
4020,22039,Evangeline,87,10,97,13,1059
2,22041,Franklin,116,10,126,17,1079
4-3,22043,Grant,117,10,127,18,14881
6-4,22043,Grant,54,10,64,9,10721
7-1,22043,Grant,112,10,122,17,1089
7-2,22043,Grant,99,10,109,15,1091
3,22049,Jackson,172,10,182,25,1216
19B,22049,Jackson,16,10,26,4,1223
4-5,22069,Natchitoches,66,10,76,10,1953
16A,22077,Pointe Coupee,11,10,21,3,2475
5-5,22085,Sabine,106,10,116,16,2660
5-6,22095,St. John the Baptist,43,10,53,7,2793
4-5,22097,St. Landry,123,10,133,18,2895
7-2A,22099,St. Martin,60,10,70,10,2903
5A,22111,Union,5,10,15,2,7838
25A,22113,Vermilion,93,10,103,14,14552
1-1B,22115,Vernon,6,10,16,2,3443
2-4,22115,Vernon,135,10,145,20,3435
7-2B,22125,West Feliciana,9,10,19,3,7204
7-3,22007,Assumption,78,11,89,12,9119
15A,22011,Beauregard,25,11,36,5,244
6-1,22021,Caldwell,100,11,111,15,621
7-3,22021,Caldwell,69,11,80,11,624
53,22031,De Soto,26,11,37,5,740
10-7,22045,Iberia,47,11,58,8,1125
7-1,22057,Lafourche,60,11,71,10,1698
9,22065,Madison,11,11,22,3,1859
11,22065,Madison,32,11,43,6,1868
2-2A,22085,Sabine,69,11,80,11,2644
3-2,22085,Sabine,179,11,190,26,2642
1-6A,22097,St. Landry,68,11,79,11,8478
5-4,22097,St. Landry,73,11,84,12,2833
3-5,22099,St. Martin,10,11,21,3,2932
7-2,22115,Vernon,160,11,171,24,3447
6,22123,West Carroll,186,11,197,27,3608
9,22123,West Carroll,92,11,103,14,3616
6-10,22001,Acadia,120,12,132,18,49
2-2,22007,Assumption,31,12,43,6,151
5-1A,22009,Avoyelles,25,12,37,5,14884
28,22017,Caddo,2,12,14,2,423
145,22017,Caddo,12,12,24,3,458
3050,22039,Evangeline,153,12,165,23,1034
5-3,22043,Grant,118,12,130,18,10406
11A,22049,Jackson,45,12,57,8,4006
64A,22055,Lafayette,69,12,81,11,8153
1A,22063,Livingston,173,12,185,26,1848
17,22065,Madison,0,12,12,2,1858
3-3,22069,Natchitoches,41,12,53,7,1957
7-2,22081,Red River,32,12,44,6,2586
30,22083,Richland,68,12,80,11,2627
7-4,22085,Sabine,102,12,114,16,2635
3A,22093,St. James,41,12,53,7,12647
4-13,22097,St. Landry,152,12,164,23,2888
6-3,22099,St. Martin,107,12,119,16,2936
20,22111,Union,193,12,205,28,3357
53,22113,Vermilion,58,12,70,10,3372
55,22113,Vermilion,80,12,92,13,3366
20A-1,22113,Vermilion,44,12,56,8,3413
49B-3,22113,Vermilion,32,12,44,6,3410
6-2,22115,Vernon,63,12,75,10,3465
6-15,22001,Acadia,91,13,104,14,26
5-1-A,22003,Allen,71,13,84,12,6882
8-2B,22009,Avoyelles,111,13,124,17,169
1,22011,Beauregard,123,13,136,19,249
2,22011,Beauregard,7,13,20,3,260
13,22011,Beauregard,128,13,141,19,225
19,22011,Beauregard,76,13,89,12,259
14A,22011,Beauregard,127,13,140,19,231
3-5,22013,Bienville,23,13,36,5,267
42,22027,Claiborne,79,13,92,13,684
96,22027,Claiborne,15,13,28,4,689
61,22031,De Soto,4,13,17,2,722
14A,22035,East Carroll,5,13,18,2,967
26,22041,Franklin,78,13,91,13,1081
11-7,22045,Iberia,48,13,61,8,8802
6-2,22059,La Salle,98,13,111,15,1727
6-4,22061,Lincoln,87,13,100,14,1777
20,22063,Livingston,88,13,101,14,1824
4,22065,Madison,46,13,59,8,1866
2,22067,Morehouse,5,13,18,2,1904
34,22087,St. Bernard,32,13,45,6,2675
4-13,22095,St. John the Baptist,5,13,18,2,13286
5-8,22095,St. John the Baptist,80,13,93,13,13273
4-2A,22099,St. Martin,52,13,65,9,13595
4-6,22099,St. Martin,47,13,60,8,2906
1,22105,Tangipahoa,35,13,48,7,3217
105,22105,Tangipahoa,31,13,44,6,3228
7-4A,22115,Vernon,48,13,61,8,3424
4-5,22127,Winn,160,13,173,24,3635
7-1A,22127,Winn,70,13,83,11,3666
2-5,22007,Assumption,35,14,49,7,9121
2-5,22013,Bienville,9,14,23,3,9434
6-4,22013,Bienville,100,14,114,16,283
154,22017,Caddo,25,14,39,5,485
663,22019,Calcasieu,87,14,101,14,587
460E,22019,Calcasieu,145,14,159,22,570
6-3,22043,Grant,82,14,96,13,1111
11,22049,Jackson,320,14,334,46,1229
17,22049,Jackson,30,14,44,6,1231
3-1,22059,La Salle,179,14,193,27,1723
3-2,22059,La Salle,120,14,134,18,1719
7-2,22059,La Salle,91,14,105,14,1726
S28,22079,Rapides,92,14,106,15,2576
3-3,22091,St. Helena,15,14,29,4,2750
1-9,22095,St. John the Baptist,6,14,20,3,13283
2-7,22097,St. Landry,52,14,66,9,2827
C10,22103,St. Tammany,48,14,62,9,3117
2,22107,Tensas,38,14,52,7,3252
20A-3,22113,Vermilion,18,14,32,4,14244
8-1,22115,Vernon,166,14,180,25,3474
4-3B,22117,Washington,23,14,37,5,3537
7,22119,Webster,102,14,116,16,3577
14,22123,West Carroll,55,14,69,10,3603
6-3,22127,Winn,134,14,148,20,3670
6-3B,22001,Acadia,127,15,142,20,37
8-1,22009,Avoyelles,59,15,74,10,166
16B,22011,Beauregard,85,15,100,14,229
6-1,22013,Bienville,106,15,121,17,280
16D,22023,Cameron,58,15,73,10,15224
1-3,22043,Grant,162,15,177,24,1104
4-2,22043,Grant,177,15,192,26,10718
12,22047,Iberville,18,15,33,5,1213
2,22049,Jackson,252,15,267,37,1232
5C,22063,Livingston,73,15,88,12,8158
7C,22063,Livingston,103,15,118,16,8159
2,22065,Madison,57,15,72,10,1872
49,22067,Morehouse,17,15,32,4,1937
2-1,22069,Natchitoches,56,15,71,10,1972
2-3,22069,Natchitoches,113,15,128,18,1965
6-2A,22085,Sabine,72,15,87,12,2667
6-13,22097,St. Landry,138,15,153,21,2855
20A-2,22113,Vermilion,39,15,54,7,3394
36A-2,22113,Vermilion,17,15,32,4,14235
1-4,22115,Vernon,23,15,38,5,3437
5-2,22115,Vernon,131,15,146,20,3444
36,22119,Webster,80,15,95,13,3559
5A,22119,Webster,2,15,17,2,7515
12,22123,West Carroll,77,15,92,13,3614
6-3,22125,West Feliciana,47,15,62,9,16814
7-4,22125,West Feliciana,0,15,15,2,3623
3-2,22127,Winn,129,15,144,20,3669
3-1,22003,Allen,148,16,164,23,68
15,22011,Beauregard,118,16,134,18,253
17,22011,Beauregard,173,16,189,26,242
22,22011,Beauregard,148,16,164,23,251
5N,22023,Cameron,129,16,145,20,6567
2,22035,East Carroll,125,16,141,19,977
1060,22039,Evangeline,118,16,134,18,1049
5004,22039,Evangeline,139,16,155,21,1009
2-2,22043,Grant,129,16,145,20,1097
19BII,22049,Jackson,3,16,19,3,4317
17,22053,Jefferson Davis,62,16,78,11,1526
14,22065,Madison,66,16,82,11,1867
48,22067,Morehouse,34,16,50,7,1887
2-7A,22069,Natchitoches,9,16,25,3,1979
S21,22079,Rapides,215,16,231,32,2489
3-3,22081,Red River,44,16,60,8,2594
3-5,22089,St. Charles,46,16,62,9,2715
4-12,22095,St. John the Baptist,13,16,29,4,13278
6-3B,22099,St. Martin,44,16,60,8,2950
21A,22113,Vermilion,110,16,126,17,14247
2-2A,22115,Vernon,96,16,112,15,3446
3-1,22115,Vernon,114,16,130,18,3464
4-7,22117,Washington,120,16,136,19,3509
8,22119,Webster,170,16,186,26,3544
13,22119,Webster,75,16,91,13,3572
38,22119,Webster,76,16,92,13,3569
7-7,22127,Winn,99,16,115,16,3650
6-13,22001,Acadia,128,17,145,20,33
2-3,22003,Allen,143,17,160,22,69
130,22017,Caddo,39,17,56,8,466
5-1,22021,Caldwell,100,17,117,16,611
16A,22023,Cameron,112,17,129,18,6876
3,22035,East Carroll,11,17,28,4,966
18,22035,East Carroll,42,17,59,8,979
2-5,22043,Grant,179,17,196,27,10400
7-3,22043,Grant,320,17,337,47,10715
25B,22047,Iberville,70,17,87,12,1185
9A,22053,Jefferson Davis,68,17,85,12,1519
1-3,22059,La Salle,147,17,164,23,1733
4-1,22061,Lincoln,129,17,146,20,1780
7A,22063,Livingston,127,17,144,20,1806
15A,22065,Madison,0,17,17,2,4323
2-2,22069,Natchitoches,53,17,70,10,1943
3-2,22069,Natchitoches,85,17,102,14,1969
4-8,22069,Natchitoches,80,17,97,13,1939
11,22083,Richland,226,17,243,34,2609
26,22083,Richland,78,17,95,13,2617
57,22087,St. Bernard,12,17,29,4,2681
6-2,22091,St. Helena,125,17,142,20,2744
4,22093,St. James,13,17,30,4,2763
5-1,22095,St. John the Baptist,53,17,70,10,2805
2-4,22099,St. Martin,11,17,28,4,2913
3-4A,22099,St. Martin,33,17,50,7,2930
4A,22107,Tensas,15,17,32,4,3248
13,22111,Union,4,17,21,3,3340
1-3,22009,Avoyelles,137,18,155,21,14885
3,22011,Beauregard,97,18,115,16,258
164,22019,Calcasieu,124,18,142,20,584
5-2,22029,Concordia,25,18,43,6,701
3070,22039,Evangeline,94,18,112,15,1013
5041,22039,Evangeline,124,18,142,20,1043
33,22041,Franklin,97,18,115,16,1068
39B,22063,Livingston,148,18,166,23,8155
6,22067,Morehouse,81,18,99,14,1892
42,22067,Morehouse,254,18,272,38,1921
N21,22079,Rapides,138,18,156,22,2548
N22,22079,Rapides,198,18,216,30,2522
2-1,22085,Sabine,190,18,208,29,2643
3-6,22085,Sabine,100,18,118,16,2658
6-4A,22085,Sabine,34,18,52,7,2638
7-5,22085,Sabine,120,18,138,19,2669
35,22087,St. Bernard,14,18,32,4,12964
6-9,22089,St. Charles,55,18,73,10,12641
1-2,22091,St. Helena,6,18,24,3,2752
23A,22101,St. Mary,75,18,93,13,8166
149A,22105,Tangipahoa,82,18,100,14,3216
28,22109,Terrebonne,45,18,63,9,3283
4-3A,22115,Vernon,102,18,120,17,3426
4-2,22125,West Feliciana,65,18,83,11,3630
3-5,22001,Acadia,115,19,134,18,53
7-2,22007,Assumption,116,19,135,19,160
27A,22011,Beauregard,132,19,151,21,239
2-22C,22015,Bossier,247,19,266,37,10080
151,22017,Caddo,67,19,86,12,422
262,22019,Calcasieu,140,19,159,22,561
2-1,22021,Caldwell,110,19,129,18,626
17,22023,Cameron,52,19,71,10,15226
9-3,22025,Catahoula,55,19,74,10,661
81,22027,Claiborne,45,19,64,9,688
28,22031,De Soto,111,19,130,18,725
51,22031,De Soto,40,19,59,8,719
1050,22039,Evangeline,66,19,85,12,1016
2-3,22043,Grant,109,19,128,18,1096
10,22049,Jackson,189,19,208,29,1234
3,22053,Jefferson Davis,121,19,140,19,1520
7-1,22059,La Salle,249,19,268,37,1722
6-2,22061,Lincoln,22,19,41,6,1779
8B,22063,Livingston,80,19,99,14,1838
3-1,22069,Natchitoches,188,19,207,29,1986
N14B,22079,Rapides,75,19,94,13,12638
S24,22079,Rapides,58,19,77,11,2503
2-3,22081,Red River,172,19,191,26,2588
1-1,22095,St. John the Baptist,37,19,56,8,2792
33,22101,St. Mary,159,19,178,25,2956
121,22105,Tangipahoa,120,19,139,19,3215
5-3,22127,Winn,105,19,124,17,3662
7-5,22127,Winn,64,19,83,11,3664
73,22005,Ascension,124,20,144,20,6886
6-2A,22009,Avoyelles,115,20,135,19,212
19C,22011,Beauregard,102,20,122,17,252
7-5,22013,Bienville,44,20,64,9,9435
155,22017,Caddo,67,20,87,12,456
561,22019,Calcasieu,145,20,165,23,522
7-1,22021,Caldwell,121,20,141,19,608
4-2,22025,Catahoula,143,20,163,22,648
9-4,22025,Catahoula,39,20,59,8,646
5-3,22029,Concordia,111,20,131,18,706
26,22031,De Soto,12,20,32,4,760
17,22035,East Carroll,28,20,48,7,957
5040,22039,Evangeline,156,20,176,24,1029
6-2,22043,Grant,149,20,169,23,1095
8-4,22043,Grant,249,20,269,37,10713
4-5,22081,Red River,5,20,25,3,2589
2-5,22085,Sabine,77,20,97,13,2636
3,22113,Vermilion,89,20,109,15,3391
6,22113,Vermilion,164,20,184,25,3375
20B-1,22113,Vermilion,108,20,128,18,3384
2-3,22115,Vernon,263,20,283,39,3478
2-4E,22115,Vernon,40,20,60,8,3467
7-3,22117,Washington,49,20,69,10,3501
5-4-O,22003,Allen,166,21,187,26,86
6,22011,Beauregard,145,21,166,23,230
12A,22011,Beauregard,127,21,148,20,250
762,22019,Calcasieu,103,21,124,17,500
16,22035,East Carroll,90,21,111,15,969
8-2,22043,Grant,225,21,246,34,1108
12-6,22061,Lincoln,4,21,25,3,11357
1C,22063,Livingston,348,21,369,51,1794
4B,22063,Livingston,178,21,199,27,8156
18,22065,Madison,0,21,21,3,1880
15B,22077,Pointe Coupee,23,21,44,6,2462
6-5B,22097,St. Landry,17,21,38,5,8792
8-3,22115,Vernon,156,21,177,24,3468
5,22121,West Baton Rouge,127,21,148,20,5275
2B,22121,West Baton Rouge,72,21,93,13,5277
