precinct,county,parish_name,rep_votes,dem_votes,total_votes,votes_needed,OBJECTID
65,22017,Caddo,139,207,346,48,454
5,22053,Jefferson Davis,63,207,270,37,1522
17-8,22071,Orleans,4,207,211,29,2081
9,22005,Ascension,545,208,753,104,108
1-72,22033,East Baton Rouge,414,208,622,86,891
13,22037,East Feliciana,37,208,245,34,14565
1160,22039,Evangeline,9,208,217,30,1047
5,22055,Lafayette,121,208,329,45,1603
13-14,22071,Orleans,23,208,231,32,2291
5-12,22071,Orleans,36,208,244,34,2293
C2,22079,Rapides,1,208,209,29,2508
1-40,22033,East Baton Rouge,139,209,348,48,920
15-18A,22071,Orleans,91,209,300,41,2325
7-16,22071,Orleans,7,209,216,30,2112
1-6,22089,St. Charles,248,209,457,63,2731
71,22105,Tangipahoa,241,209,450,62,3220
199,22051,Jefferson,204,210,414,57,1253
4-14,22071,Orleans,321,210,531,73,2264
9-40,22071,Orleans,6,210,216,30,2044
30,22047,Iberville,198,211,409,56,1203
179B,22051,Jefferson,11,211,222,31,1341
14-6,22071,Orleans,124,211,335,46,2220
7-15,22071,Orleans,4,211,215,30,2026
2-1,22015,Bossier,189,212,401,55,328
1-68,22033,East Baton Rouge,0,212,212,29,816
3-28,22033,East Baton Rouge,372,212,584,81,926
227,22051,Jefferson,192,212,404,56,1511
11-17,22071,Orleans,4,212,216,30,2270
1-11,22097,St. Landry,21,212,233,32,2832
7-1,22099,St. Martin,233,212,445,61,2914
46,22109,Terrebonne,157,212,369,51,3275
1-67,22033,East Baton Rouge,9,213,222,31,911
198,22051,Jefferson,280,213,493,68,1293
9-43F,22071,Orleans,5,213,218,30,2315
70,22073,Ouachita,2,213,215,30,2370
1-6,22033,East Baton Rouge,7,214,221,30,794
2-19,22033,East Baton Rouge,37,214,251,35,782
31,22047,Iberville,54,214,268,37,1181
70,22051,Jefferson,309,214,523,72,1332
9-43B,22071,Orleans,1,214,215,30,2086
12,22073,Ouachita,12,214,226,31,2392
4-10,22095,St. John the Baptist,105,214,319,44,13275
4-6,22015,Bossier,561,215,776,107,330
1-7,22033,East Baton Rouge,121,215,336,46,825
12-1,22045,Iberia,10,215,225,31,1116
20A,22049,Jackson,6,215,221,30,1235
8,22017,Caddo,206,216,422,58,442
10-5,22061,Lincoln,7,216,223,31,1773
3-33,22033,East Baton Rouge,641,217,858,118,847
194B,22051,Jefferson,242,217,459,63,1476
17-11,22071,Orleans,4,217,221,30,2227
232A,22051,Jefferson,48,218,266,37,1320
13-5,22071,Orleans,36,218,254,35,2288
15-15A,22071,Orleans,79,218,297,41,2083
15-19B,22071,Orleans,2,218,220,30,2184
125,22105,Tangipahoa,217,218,435,60,3210
1-L,22051,Jefferson,267,219,486,67,1456
53,22055,Lafayette,55,219,274,38,1606
17-3,22071,Orleans,12,219,231,32,2231
1-1,22097,St. Landry,14,219,233,32,2885
1-97,22033,East Baton Rouge,97,220,317,44,871
10-11,22071,Orleans,16,220,236,33,2021
3-1,22071,Orleans,132,220,352,49,2136
6,22093,St. James,301,220,521,72,2764
11,22005,Ascension,454,221,675,93,133
17,22005,Ascension,335,221,556,77,127
82,22017,Caddo,269,221,490,68,478
1-56,22033,East Baton Rouge,625,221,846,117,951
7-2,22095,St. John the Baptist,276,221,497,69,2790
9-5B,22009,Avoyelles,30,222,252,35,15201
26-K,22051,Jefferson,20,222,242,33,1355
7-14,22071,Orleans,0,222,222,31,2297
4,22073,Ouachita,336,222,558,77,2364
40,22017,Caddo,2,223,225,31,362
1-21,22033,East Baton Rouge,3,223,226,31,798
9,22055,Lafayette,299,223,522,72,1547
11-10,22071,Orleans,45,223,268,37,2345
9-43L,22071,Orleans,3,223,226,31,1989
1-102,22033,East Baton Rouge,119,224,343,47,775
172,22051,Jefferson,141,224,365,50,1405
12-14,22071,Orleans,17,224,241,33,2161
17-16,22071,Orleans,11,224,235,32,2342
63,22031,De Soto,28,225,253,35,754
108,22051,Jefferson,3,225,228,31,1251
2-11,22057,Lafourche,78,225,303,42,1681
4-9,22095,St. John the Baptist,105,225,330,46,2795
1-2,22097,St. Landry,50,225,275,38,2889
45A,22105,Tangipahoa,95,225,320,44,3208
7,22005,Ascension,674,226,900,124,143
7,22017,Caddo,57,226,283,39,354
1-75,22033,East Baton Rouge,454,226,680,94,804
4-2,22045,Iberia,54,226,280,39,1143
13-11,22071,Orleans,14,226,240,33,2210
15-6,22071,Orleans,11,226,237,33,2322
12,22093,St. James,46,226,272,38,2775
1-2,22115,Vernon,32,226,258,36,3427
3-35,22033,East Baton Rouge,446,227,673,93,903
3,22101,St. Mary,30,227,257,35,2964
109,22105,Tangipahoa,115,227,342,47,3186
11A,22037,East Feliciana,109,228,337,47,14567
15-11,22071,Orleans,2,228,230,32,2001
904,22103,St. Tammany,200,228,428,59,3047
143,22105,Tangipahoa,362,228,590,81,3232
1-41,22033,East Baton Rouge,328,229,557,77,867
15-14,22071,Orleans,70,229,299,41,2222
3-19,22071,Orleans,37,229,266,37,2235
304,22103,St. Tammany,311,229,540,75,3079
129A,22105,Tangipahoa,94,229,323,45,3162
41,22017,Caddo,2,230,232,32,453
370,22019,Calcasieu,312,230,542,75,507
184,22051,Jefferson,406,230,636,88,1258
13-4,22071,Orleans,60,230,290,40,2057
7-25A,22071,Orleans,9,230,239,33,2208
52,22087,St. Bernard,175,230,405,56,2699
49,22017,Caddo,648,231,879,121,450
5-5,22097,St. Landry,149,231,380,52,2859
31,22109,Terrebonne,71,231,302,42,3325
1-19,22033,East Baton Rouge,11,232,243,34,799
3-48,22033,East Baton Rouge,946,232,1178,163,808
193A,22051,Jefferson,101,232,333,46,15546
57,22055,Lafayette,31,232,263,36,1592
7-12,22071,Orleans,22,232,254,35,2067
2-2,22099,St. Martin,445,232,677,93,2905
10,22101,St. Mary,11,232,243,34,2996
190,22051,Jefferson,322,233,555,77,1388
21-K,22051,Jefferson,19,233,252,35,1492
99,22055,Lafayette,169,233,402,55,1622
11-2,22071,Orleans,13,233,246,34,2302
7-8,22071,Orleans,2,233,235,32,2186
6-4,22099,St. Martin,437,233,670,92,2937
1-55,22033,East Baton Rouge,417,234,651,90,899
16,22041,Franklin,22,234,256,35,1077
14,22055,Lafayette,100,234,334,46,1563
17-7,22071,Orleans,20,234,254,35,2093
9-30,22071,Orleans,83,234,317,44,2049
9-7,22071,Orleans,0,234,234,32,2336
7,22093,St. James,1,234,235,32,2766
5-4,22095,St. John the Baptist,258,234,492,68,2782
47,22105,Tangipahoa,34,234,268,37,3234
55,22005,Ascension,30,235,265,37,125
144,22017,Caddo,204,235,439,61,381
14-24A,22071,Orleans,56,235,291,40,2074
17,22093,St. James,121,235,356,49,2762
5-1,22117,Washington,152,235,387,53,3499
115,22051,Jefferson,9,236,245,34,1256
38,22063,Livingston,267,236,503,69,1852
10-2,22009,Avoyelles,179,237,416,57,14887
1-1,22033,East Baton Rouge,74,237,311,43,932
27,22051,Jefferson,234,237,471,65,1509
14,22067,Morehouse,7,237,244,34,1934
3-8,22071,Orleans,7,237,244,34,2192
9-43K,22071,Orleans,7,237,244,34,2237
9-3,22099,St. Martin,333,237,570,79,2917
67,22017,Caddo,1,238,239,33,364
15-13,22071,Orleans,18,238,256,35,2101
1-2,22045,Iberia,18,239,257,35,1139
7-1,22071,Orleans,52,239,291,40,2272
1-2A,22097,St. Landry,60,239,299,41,2869
6-2,22007,Assumption,24,240,264,36,161
189,22051,Jefferson,311,240,551,76,1396
21,22055,Lafayette,41,240,281,39,1635
6-1,22057,Lafourche,677,240,917,127,1670
11-1,22061,Lincoln,37,240,277,38,1775
7,22077,Pointe Coupee,97,240,337,47,2476
20,22101,St. Mary,3,240,243,34,2980
2-1,22013,Bienville,3,241,244,34,264
17-6,22071,Orleans,0,241,241,33,2209
2-3,22095,St. John the Baptist,179,241,420,58,2807
703,22103,St. Tammany,132,241,373,51,3118
32,22005,Ascension,311,242,553,76,140
3-4,22015,Bossier,155,242,397,55,310
95,22017,Caddo,491,242,733,101,386
S20,22079,Rapides,75,242,317,44,2566
6,22119,Webster,65,242,307,42,3552
1-59,22033,East Baton Rouge,2,243,245,34,861
13,22067,Morehouse,25,243,268,37,1931
322,22019,Calcasieu,58,244,302,42,504
13,22053,Jefferson Davis,176,244,420,58,1528
10-6,22071,Orleans,15,244,259,36,2078
12-3,22071,Orleans,15,244,259,36,2324
6-9,22071,Orleans,57,244,301,42,2353
8-21,22071,Orleans,42,244,286,39,2319
8-26,22071,Orleans,6,244,250,35,2068
8-9,22071,Orleans,2,244,246,34,2052
9-43M,22071,Orleans,0,244,244,34,2286
3-3,22099,St. Martin,83,244,327,45,2938
17,22017,Caddo,113,245,358,49,360
1-80,22033,East Baton Rouge,506,245,751,104,863
125,22051,Jefferson,190,245,435,60,1402
2,22055,Lafayette,705,245,950,131,1605
3-18,22071,Orleans,13,245,258,36,2098
